dt,output
5.22001726e-2,9.93376764e-3
8.71440897e-2,6.15632855e-3
1.36324418e-1,3.38517815e-3
1.81622088e-1,3.12571585e-3
2.25625539e-1,4.78248569e-3
2.76100086e-1,1.40341511e-2
3.53753236e-1,4.06393365e-2
4.50819672e-1,9.51382105e-2
5.00000000e-1,1.25767115e-1
5.98360656e-1,1.75334445e-1
7.10957722e-1,2.25701972e-1
8.36496980e-1,2.82917265e-1
9.33563417e-1,3.06401923e-1
9.99568594e-1,3.14655624e-1
1.12510785e+0,3.27454916e-1
1.25323555e+0,3.27454916e-1
1.37230371e+0,3.27454916e-1
1.49913719e+0,3.23131658e-1
1.62726488e+0,3.27454916e-1
1.77221743e+0,3.23131658e-1
1.91328732e+0,3.27454916e-1
2.04141501e+0,3.23131658e-1
2.13330457e+0,3.23131658e-1
2.20189819e+0,3.27454916e-1

